"ISD number","Name"
"727935-24234","Boeing Field"
"727935-99999","Boeing Field King Co"
"727976-24217","Bellingham Airport"
"720749-24255","Whidbey Airport"
"727923-94225","Hoquiam Airport"
"727970-94240","Quillayute Airport"
"727930-24233","Seatac Airport"
"727920-24227","Olympia Airport"
"727925-94227","Shelton Airport"
"727973-99999","Bangor CG Station"
"727938-94274","Tacoma Narrows Airport"
"727928-94263","Bremerton Airport"
"727937-24222","Everett Snohomish Airport"
"742065-99999","Point No Point CG Station"
"994350-99999","West Point"
"742076-99999","West Point Lighthouse"
"999999-94297","Coupeville NOLF"
"722208-04224","Orcas Island"
"717850-99999","White Rock (BC)"
"714730-99999","Saturna Island"
"719140-99999","Saturna Capmon"
"714735-99999","Victoria Harbor (BC)"
